t0,n,m,k,h,eX,eVar,eTime,tU,tVar,tDiff,tTime,nU,nVar,nDiff,nTime
1707132786.4613066,1,14,10,4,0.00000E+00,0.00000E+00,2.384185791015625e-05,0.00000E+00,0.00000E+00,-,2.09808349609375e-05,1.91482E-14,1.91482E-14,-,2.1457672119140625e-06
1707132786.4617012,2,29,10,4,4.92062E-19,4.92062E-19,1.811981201171875e-05,2.03735E-18,2.03735E-18,3.14,8.58306884765625e-06,3.96641E-14,2.05159E-14,80606.88,1.6689300537109375e-06
1707132786.4622884,3,43,10,4,3.35827E-17,3.30907E-17,1.7881393432617188e-05,6.87399E-17,6.67026E-17,1.05,7.152557373046875e-06,5.88123E-14,1.91482E-14,1750.27,1.6689300537109375e-06
1707132786.4631257,4,58,10,4,1.50138E-16,1.16555E-16,2.0265579223632812e-05,2.44373E-16,1.75633E-16,0.63,7.152557373046875e-06,7.93282E-14,2.05159E-14,527.37,1.430511474609375e-06
1707132786.4642498,5,72,10,4,4.34672E-16,2.84534E-16,2.3365020751953125e-05,6.29590E-16,3.85218E-16,0.45,7.3909759521484375e-06,9.84763E-14,1.91482E-14,225.55,1.9073486328125e-06
1707132786.4654784,6,87,10,4,7.49016E-16,3.14344E-16,2.5033950805664062e-05,1.01016E-15,3.80569E-16,0.35,7.3909759521484375e-06,1.18992E-13,2.05159E-14,157.86,1.6689300537109375e-06
1707132786.4668903,7,101,10,4,1.28907E-15,5.40058E-16,2.765655517578125e-05,1.65687E-15,6.46714E-16,0.29,7.152557373046875e-06,1.38140E-13,1.91482E-14,106.16,1.9073486328125e-06
1707132786.4685516,8,115,10,4,1.95894E-15,6.69866E-16,2.956390380859375e-05,2.43196E-15,7.75090E-16,0.24,7.62939453125e-06,1.57289E-13,1.91482E-14,79.29,1.9073486328125e-06
1707132786.470426,9,130,10,4,2.45086E-15,4.91915E-16,3.2901763916015625e-05,2.96365E-15,5.31684E-16,0.21,7.62939453125e-06,1.77804E-13,2.05159E-14,71.55,1.9073486328125e-06
1707132786.4726546,10,144,10,4,3.27021E-15,8.19354E-16,3.600120544433594e-05,3.87404E-15,9.10394E-16,0.18,7.62939453125e-06,1.96953E-13,1.91482E-14,59.23,1.6689300537109375e-06
